Serial No,City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated/Total Stations
1,Agartala,Satisfactory,92,O 3,1/2
2,Agra,Moderate,129," PM 2.5, PM 10",6/6
3,Ahmedabad,Moderate,110," PM 2.5, PM 10",8/9
4,Ahmednagar,Moderate,149,PM 10,1/1
5,Aizawl,Moderate,101,PM 10,1/1
6,Ajmer,Satisfactory,100,PM 10,1/1
7,Akola,Satisfactory,95,PM 10,1/1
8,Alwar,Satisfactory,97,NO 2,1/1
9,Amaravati,Good,37,PM 10,1/1
10,Amravati,Satisfactory,93,PM 10,2/2
11,Amritsar,Satisfactory,94,CO,1/1
12,Angul,Moderate,145,PM 10,1/1
13,Ankleshwar,Satisfactory,87,NO 2,1/1
14,Araria,Moderate,116,PM 10,1/1
15,Ariyalur,Good,40,PM 10,1/1
16,Asansol,Moderate,136," PM 2.5, PM 10",4/4
17,Aurangabad (Bihar),Poor,207,PM 2.5,1/1
18,Aurangabad (Maharashtra),Satisfactory,90,PM 10,3/3
19,Baddi,Moderate,121,PM 10,1/1
20,Badlapur,Moderate,112,PM 10,1/1
21,Bagalkot,Good,46,PM 10,1/1
22,Baghpat,Moderate,186,PM 10,1/2
23,Balasore,Moderate,118,PM 10,1/1
24,Banswara,Moderate,108,PM 10,1/1
25,Baran,Moderate,116,PM 10,1/1
26,Barbil,Poor,223,PM 10,1/1
27,Bareilly,Satisfactory,93,PM 10,1/2
28,Baripada,Moderate,115,CO,1/1
29,Barmer,Moderate,123,PM 10,1/1
30,Barrackpore,Satisfactory,93,PM 10,1/1
31,Bathinda,Satisfactory,53,CO,1/1
32,Begusarai,Moderate,178,PM 2.5,1/1
33,Belapur,Moderate,126,PM 10,1/1
34,Belgaum,Satisfactory,92,NO 2,1/1
35,Bengaluru,Satisfactory,80,"PM 10, O 3",12/14
36,Bettiah,Moderate,113,PM 10,1/1
37,Bhagalpur,Moderate,132," PM 2.5, PM 10",2/2
38,Bharatpur,Satisfactory,88,O 3,1/1
39,Bhilai,Moderate,103,"PM 10, CO",3/3
40,Bhilwara,Moderate,108,PM 10,1/1
41,Bhiwadi,Moderate,156,PM 10,1/2
42,Bhiwandi,Moderate,118,PM 10,1/1
43,Bhopal,Moderate,114,"PM 10 , O 3",3/3
44,Bhubaneswar,Satisfactory,74," PM 2.5, PM 10",2/2
45,Bikaner,Moderate,162,PM 10,1/1
46,Bilaspur,Satisfactory,86,PM 10,1/1
47,Bileipada,Satisfactory,91,PM 10,1/1
48,Boisar,Satisfactory,94,PM 10,1/1
49,Brajrajnagar,Satisfactory,98,PM 10,1/1
50,Bulandshahr,Moderate,196,PM 10,1/1
51,Bundi,Moderate,150,PM 10,1/1
52,Buxar,Moderate,170,PM 2.5,1/1
53,Byasanagar,Moderate,154,O 3,1/1
54,Chamarajanagar,Good,48,PM 10,1/1
55,Chandigarh,Moderate,106,"PM 10 , O 3",2/3
56,Chandrapur,Moderate,160,PM 10,2/2
57,Chennai,Satisfactory,54,"PM 10 , CO ",7/9
58,Chhal,Satisfactory,89,PM 10,1/1
59,Chhapra,Satisfactory,95,PM 10,1/1
60,Chikkaballapur,Good,42,PM 10,1/1
61,Chittoor,Satisfactory,61,PM 2.5,1/1
62,Chittorgarh,Moderate,137,PM 10,1/1
63,Churu,Moderate,103,O 3,1/1
64,Coimbatore,Good,46,"PM 2.5 , O 3",2/2
65,Cuddalore,Good,31,PM 2.5,1/2
66,Cuttack,Moderate,104,PM 10,1/1
67,Damoh,Good,48,PM 10,1/1
68,Dausa,Moderate,166,O 3,1/1
